iter	Passed	Remaining
0	256	128087
1	514	127999
2	768	127290
3	1020	126539
4	1270	125819
5	1523	125404
6	1794	126368
7	2195	135042
8	2454	133931
9	2724	133498
10	3002	133472
11	3257	132465
12	3510	131524
13	3763	130644
14	4018	129939
15	4274	129291
16	4529	128684
17	4784	128109
18	5038	127542
19	5290	126983
20	5543	126437
21	5797	125960
22	6051	125498
23	6304	125044
24	6556	124574
25	6807	124109
26	7062	123717
27	7318	123361
28	7571	122977
29	7824	122576
30	8080	122253
31	8336	121923
32	8590	121564
33	8843	121212
34	9097	120864
35	9354	120573
36	9611	120275
37	9867	119967
38	10204	120617
39	10473	120442
40	10727	120092
41	10981	119748
42	11236	119415
43	11492	119104
44	11748	118785
45	12001	118446
46	12255	118125
47	12510	117809
48	12764	117482
49	13026	117242
50	13281	116931
51	13536	116620
52	13793	116331
53	14050	116047
54	14311	115791
55	14565	115483
56	14820	115180
57	15074	114878
58	15327	114568
59	15585	114292
60	15840	113996
61	16094	113697
62	16347	113396
63	16602	113103
64	16856	112807
65	17109	112510
66	17364	112222
67	17627	111985
68	17884	111714
69	18170	111617
70	18426	111337
71	18678	111031
72	18933	110745
73	19184	110439
74	19437	110146
75	19690	109854
76	19946	109578
77	20202	109300
78	20457	109021
79	20708	108718
80	20960	108427
81	21235	108246
82	21622	108631
83	21885	108384
84	22171	108250
85	22427	107963
86	22679	107661
87	22931	107359
88	23183	107059
89	23441	106788
90	23692	106487
91	23943	106185
92	24196	105894
93	24450	105603
94	24727	105416
95	24988	105160
96	25238	104858
97	25494	104579
98	25746	104285
99	26002	104008
100	26282	103829
101	26533	103533
102	26783	103234
103	27034	102938
104	27286	102648
105	27538	102358
106	27789	102066
107	28041	101780
108	28293	101492
109	28546	101211
110	28799	100926
111	29051	100643
112	29303	100357
113	29557	100079
114	29805	99782
115	30058	99505
116	30314	99235
117	30567	98954
118	30817	98668
119	31069	98387
120	31323	98112
121	31572	97824
122	31824	97544
123	32086	97294
124	32339	97017
125	32590	96737
126	32842	96458
127	33093	96178
128	33348	95909
129	33599	95630
130	33852	95356
131	34102	95073
132	34383	94878
133	34635	94602
134	34888	94328
135	35140	94051
136	35393	93779
137	35645	93504
138	35899	93235
139	36150	92957
140	36403	92687
141	36654	92409
142	36907	92139
143	37158	91863
144	37411	91593
145	37660	91314
146	37912	91040
147	38162	90764
148	38418	90501
149	38671	90232
150	38921	89958
151	39179	89700
152	39436	89441
153	39690	89174
154	39944	88908
155	40198	88642
156	40482	88443
157	40857	88437
158	41133	88216
159	41398	87972
160	41646	87690
161	41897	87415
162	42150	87145
163	42428	86926
164	42683	86661
165	42938	86393
166	43191	86123
167	43441	85849
168	43694	85578
169	43944	85304
170	44196	85033
171	44451	84768
172	44700	84492
173	44953	84223
174	45207	83956
175	45458	83685
176	45710	83416
177	45966	83152
178	46220	82886
179	46472	82618
180	46722	82345
181	46975	82077
182	47230	81814
183	47485	81550
184	47738	81284
185	47992	81019
186	48245	80753
187	48496	80483
188	48751	80220
189	49012	79968
190	49267	79704
191	49519	79436
192	49774	79174
193	50029	78912
194	50295	78667
195	50559	78419
196	50809	78149
197	51061	77880
198	51312	77613
199	51566	77350
200	51815	77078
201	52066	76810
202	52317	76543
203	52570	76279
204	52824	76015
205	53079	75753
206	53333	75490
207	53583	75222
208	53831	74952
209	54084	74687
210	54337	74424
211	54587	74156
212	54837	73889
213	55088	73623
214	55338	73355
215	55586	73085
216	55837	72820
217	56089	72555
218	56337	72286
219	56588	72021
220	56837	71754
221	57086	71486
222	57337	71221
223	57592	70961
224	57844	70699
225	58099	70439
226	58373	70202
227	58634	69949
228	58886	69686
229	59137	69422
230	59391	69161
231	59698	68961
232	60088	68856
233	60357	68610
234	60634	68375
235	60889	68113
236	61143	67851
237	61398	67589
238	61647	67321
239	61894	67052
240	62144	66786
241	62398	66523
242	62646	66255
243	62897	65990
244	63147	65724
245	63401	65463
246	63652	65198
247	63901	64931
248	64148	64663
249	64399	64399
250	64652	64137
251	64903	63873
252	65150	63605
253	65400	63341
254	65651	63077
255	65902	62813
256	66148	62545
257	66404	62286
258	66673	62039
259	66926	61778
260	67180	61517
261	67435	61258
262	67687	60995
263	67941	60735
264	68197	60477
265	68450	60216
266	68701	59953
267	68954	59692
268	69209	59432
269	69459	59169
270	69712	58908
271	69962	58645
272	70217	58385
273	70469	58124
274	70718	57860
275	70973	57601
276	71225	57340
277	71476	57078
278	71728	56817
279	71983	56558
280	72239	56300
281	72492	56040
282	72744	55779
283	72999	55520
284	73255	55263
285	73506	55001
286	73757	54739
287	74008	54478
288	74262	54219
289	74534	53973
290	74783	53710
291	75037	53451
292	75287	53189
293	75536	52927
294	75787	52666
295	76038	52405
296	76289	52144
297	76542	51884
298	76791	51622
299	77042	51361
300	77291	51099
301	77545	50840
302	77797	50581
303	78049	50321
304	78302	50062
305	78552	49801
306	78817	49549
307	79189	49364
308	79453	49111
309	79736	48870
310	79986	48608
311	80235	48346
312	80485	48085
313	80735	47824
314	80989	47565
315	81243	47306
316	81496	47046
317	81746	46785
318	81996	46524
319	82250	46265
320	82498	46003
321	82770	45755
322	83022	45495
323	83277	45237
324	83525	44975
325	83773	44713
326	84023	44453
327	84273	44192
328	84528	43934
329	84782	43675
330	85036	43417
331	85287	43157
332	85536	42896
333	85789	42638
334	86041	42378
335	86289	42117
336	86539	41857
337	86787	41596
338	87036	41335
339	87283	41074
340	87531	40813
341	87778	40552
342	88030	40294
343	88287	40037
344	88537	39777
345	88784	39516
346	89036	39258
347	89287	38999
348	89541	38741
349	89793	38482
350	90044	38224
351	90298	37966
352	90553	37709
353	90837	37464
354	91094	37207
355	91349	36950
356	91606	36693
357	91857	36435
358	92113	36178
359	92370	35921
360	92624	35664
361	92875	35405
362	93123	35145
363	93377	34888
364	93626	34629
365	93878	34370
366	94128	34112
367	94381	33854
368	94635	33596
369	94885	33338
370	95139	33080
371	95392	32823
372	95641	32564
373	95891	32305
374	96143	32047
375	96391	31788
376	96641	31530
377	96890	31271
378	97142	31013
379	97392	30755
380	97642	30497
381	97904	30242
382	98253	30014
383	98544	29768
384	98856	29528
385	99114	29272
386	99368	29014
387	99623	28757
388	99880	28500
389	100131	28242
390	100385	27984
391	100634	27725
392	100885	27467
393	101134	27208
394	101388	26951
395	101641	26693
396	101892	26435
397	102145	26177
398	102396	25919
399	102646	25661
400	102896	25403
401	103144	25144
402	103394	24886
403	103645	24628
404	103897	24371
405	104155	24114
406	104407	23857
407	104660	23599
408	104909	23341
409	105161	23084
410	105415	22827
411	105665	22569
412	105916	22311
413	106168	22054
414	106420	21797
415	106668	21538
416	106944	21286
417	107194	21028
418	107445	20771
419	107695	20513
420	107946	20256
421	108199	19999
422	108455	19742
423	108704	19484
424	108958	19227
425	109209	18970
426	109459	18713
427	109706	18455
428	109958	18198
429	110209	17941
430	110460	17683
431	110709	17426
432	110960	17169
433	111211	16912
434	111461	16655
435	111711	16398
436	111966	16141
437	112219	15885
438	112470	15628
439	112724	15371
440	112978	15115
441	113231	14858
442	113481	14601
443	113733	14344
444	113984	14088
445	114238	13831
446	114494	13575
447	114750	13319
448	115038	13066
449	115290	12810
450	115545	12553
451	115805	12297
452	116073	12042
453	116328	11786
454	116579	11529
455	116832	11273
456	117102	11018
457	117483	10773
458	117751	10518
459	118025	10263
460	118280	10006
461	118533	9749
462	118783	9492
463	119035	9235
464	119290	8978
465	119546	8722
466	119802	8465
467	120054	8208
468	120307	7952
469	120560	7695
470	120812	7438
471	121064	7181
472	121317	6925
473	121406	6659
474	121658	6403
475	121912	6146
476	122166	5890
477	122418	5634
478	122672	5378
479	122960	5123
480	123217	4867
481	123470	4610
482	123724	4354
483	123984	4098
484	124235	3842
485	124491	3586
486	124743	3329
487	124993	3073
488	125244	2817
489	125494	2561
490	125743	2304
491	125996	2048
492	126248	1792
493	126501	1536
494	126750	1280
495	127000	1024
496	127253	768
497	127503	512
498	127756	256
499	128008	0
